ID,Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 1 default","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Attribute 2 default"
,variable,12121222,"Mens Workout Shorts",1,0,visible,,"
    If you want both-sided printing, please add the product in this link to your cart as much as the T-shirt quantity.
https://www.etsy.com/listing/911568734/both-side-printFore bulk orders (10 pieces or more),Please contact with us and we can provide you more discounts.
Please be aware of that we can not make changes on the design. Thank you for your understanding.

This customized gift can be used by all the members of family, it will be the best wanderlust, travel apparel unisex personalized shirt ever!

👉 Product Details:The T-Shirts, Hoodies, Youth, Toddler and Baby Suits are unisex.👈


👉Reading the Sizing Chart: Please note that the sizing chart includes the measurements of one side of the shirt, not the circumference. 👈

👉Please review all the sizing charts that were added in the product pictures.

👉How Do I Order👈
1️⃣ Please review all the information provided before placing an order
2️⃣ Select the shirt type and size using the drop down menu.
3️⃣ Select the color of the shirt using the following drop down menu.
4️⃣ Please add the vinyl color (white or black) in the optional message section of the order.
5️⃣ Need more Items? Add the current item in the cart. And If you like to add more items to your order please press the back button and repeat steps 1-4 again.
6️⃣ Once all your desired items are in your cart you may complete your order by entering your payment method, desired shipping address and click submit.


We are working with 3 different shirt brands. If you want specific one please send message to us. Otherwise available brand will be shipped.

👉When Can I Expect My Order 👈
Processing Time: 2-5 days
During holidays please expect delays as the amount of orders are slightly higher than usual, although we will do our best to get your order to you as soon as possible.

👉Shipping Time👈
First Class shipping will take 1-5 business days
Priority shipping which includes tracking will take 2-3 business days.

👉Care Instructions 👈
Wash items inside out in cold water, do not bleach, do not dry clean, do not iron directly on the design.

👉Returns👈
All items are made-to-order. Because of the nature of these items, unless they arrive damaged or defective, I cant",,,taxable,,1,100,,0,0,,,,,1,,,,Short,Short,,"https://i.etsystatic.com/26674121/r/il/b4ac36/3248707857/il_fullxfull.3248707857_u28w.jpg,https://i.etsystatic.com/26674121/r/il/c7aee6/3016765399/il_fullxfull.3016765399_a3ud.jpg,https://i.etsystatic.com/26674121/r/il/934664/2792024323/il_fullxfull.2792024323_h257.jpg,https://i.etsystatic.com/26674121/r/il/045b17/2969059826/il_fullxfull.2969059826_onc6.jpg,https://i.etsystatic.com/26674121/r/il/ebb0f1/2969059918/il_fullxfull.2969059918_7wc0.jpg,https://i.etsystatic.com/26674121/r/il/5e03a1/2792024645/il_fullxfull.2792024645_1kmf.jpg,https://i.etsystatic.com/26674121/r/il/a80f96/2744326156/il_fullxfull.2744326156_ru6j.jpg,https://i.etsystatic.com/26674121/r/il/773067/2792024207/il_fullxfull.2792024207_hjfw.jpg",,,,,,,,,0,Size,"S, M, L, XL, 2XL,3XL",0,1,"Adult Unisex Shirt / S",Gender,"Men, Women",0,1,Men
,variation,,"Mens Workout Shorts",1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,100,Short,Short,,,,,12121222,,,,,,,Size,S,,1,,Gender,Men,,1,
,variation,,"Mens Workout Shorts",1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,100,Short,Short,,,,,12121222,,,,,,,Size," M",,1,,Gender,Men,,1,
,variation,,"Mens Workout Shorts",1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,100,Short,Short,,,,,12121222,,,,,,,Size," L",,1,,Gender,Men,,1,
,variation,,"Mens Workout Shorts",1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,100,Short,Short,,,,,12121222,,,,,,,Size," XL",,1,,Gender,Men,,1,
,variation,,"Mens Workout Shorts",1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,100,Short,Short,,,,,12121222,,,,,,,Size," 2XL",,1,,Gender,Men,,1,
,variation,,"Mens Workout Shorts",1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,100,Short,Short,,,,,12121222,,,,,,,Size,3XL,,1,,Gender,Men,,1,
,variation,,"Mens Workout Shorts",1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,100,Short,Short,,,,,12121222,,,,,,,Size,S,,1,,Gender," Women",,1,
,variation,,"Mens Workout Shorts",1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,100,Short,Short,,,,,12121222,,,,,,,Size," M",,1,,Gender," Women",,1,
,variation,,"Mens Workout Shorts",1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,100,Short,Short,,,,,12121222,,,,,,,Size," L",,1,,Gender," Women",,1,
