ID,Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 1 default","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Attribute 2 default","Attribute 3 name","Attribute 3 value(s)","Attribute 3 visible","Attribute 3 global","Attribute 3 default"
,variable,1510889194,"Funny Halloween Shirt, Cute Cat T Shirt, Pumpkin Vneck Shirt, Kids Graphic Tees, Halloween Gifts, Cat Mom Gift, Spooky Season Sweatshirt",1,,visible,,"FastCustomTees

Price includes one sided print. Double sided print (front and back) costs extra $6.99

This customized gift can be used by all the members of family, it will be the best wanderlust, travel apparel unisex personalized shirt ever!

👉 Product Details: The T-Shirts, Hoodies, Youth, Toddler and Baby Suits (Body Suit) are unisex.👈

👉Reading the Sizing Chart: Please note that the sizing chart includes the measurements of one side of the shirt, not the circumference.👈

👉Please review all the sizing charts that were added in the product pictures.

👉How Do I Order👈
1️⃣ Please review all the information provided before placing an order
2️⃣ Select the shirt type and size using the drop-down menu.
3️⃣ Select the color of the shirt using the following drop-down menu.
4️⃣ Please add the vinyl color (white or black) in the optional message section of the order.
5️⃣ Need more Items? Add the current item in the cart. If you like to add more items to your order, please press the back button and repeat steps 1-4 again.
6️⃣ Once all your desired items are in your cart you may complete your order by entering your payment method, desired shipping address and click submit.

We are working with 3 different shirt brands. If you want specific one, please send message to us. Otherwise, available brand will be shipped.

👉When Can I Expect My Order 👈
Processing Time: 1-3 days
During holidays, please expect delays as the amount of orders are slightly higher than usual, although we will do our best to get your order to you as soon as possible.

👉Shipping Time👈
First Class shipping will take 1-5 business days
Priority shipping which includes tracking will take 2-3 business days.

👉Care Instructions 👈
Wash items inside out in cold water, do not bleach, do not dry clean, do not iron directly on the design.

👉Returns👈
All items are made-to-order. Because of the nature of these items, unless they arrive damaged or defective, I can&#39;t accept returns.",,,taxable,,1,100,,1,0,,,,,1,1,,,,Uncategorized,"Halloween Shirt,Pumpkin Graphic Tees,Halloween Shirt,Pumpkin Graphic Tees",,"https://i.etsystatic.com/25056868/r/il/7b109d/5145818265/il_fullxfull.5145818265_nvkz.jpg,https://i.etsystatic.com/25056868/r/il/509db3/5097239064/il_fullxfull.5097239064_h35k.jpg,https://i.etsystatic.com/25056868/r/il/579d6e/5145457811/il_fullxfull.5145457811_4ikp.jpg,https://i.etsystatic.com/25056868/r/il/0740d2/5145457697/il_fullxfull.5145457697_mo6p.jpg,https://i.etsystatic.com/25056868/r/il/cdd2e0/5145457723/il_fullxfull.5145457723_32hi.jpg,https://i.etsystatic.com/25056868/r/il/af2b97/5145457773/il_fullxfull.5145457773_3qn0.jpg,https://i.etsystatic.com/25056868/r/il/887716/5145457887/il_fullxfull.5145457887_o2ht.jpg,https://i.etsystatic.com/25056868/r/il/c6c1b5/5097239278/il_fullxfull.5097239278_23t3.jpg,https://i.etsystatic.com/25056868/r/il/73dae3/5145457969/il_fullxfull.5145457969_ipr4.jpg,https://i.etsystatic.com/25056868/r/il/0a55c8/5145458019/il_fullxfull.5145458019_r34l.jpg",,,,,,,,,gender,"men,women","Adult Unisex Shirt / S,Adult Unisex Shirt / M,Adult Unisex Shirt / L,Adult Unisex Shirt / XL,Adult Unisex Shirt / 2XL,Adult Unisex Shirt / 3XL,Women VNeck / S,Women VNeck / M,Women VNeck / L,Women VNeck / XL,Women VNeck / 2XL,Women Tank Top Racerback / S,Women Tank Top Racerback / M,Women Tank Top Racerback / L,Women Tank Top Racerback / XL,Women Tank Top Racerback / 2XL,Youth Shirt / S,Youth Shirt / M,Youth Shirt / L,Youth Shirt / XL,Toddler Shirt / 2T,Toddler Shirt / 3T,Toddler Shirt / 4T,Toddler Shirt / 5T",0,1,size,"S, M, L, XL ,2XL, 3XL","Black,White,Red,Heather Dark Grey,Heather Deep Teal,Heather Grey,Heather Mauve,Heather Maroon,Heather Military Green,Heather Navy,Heather Orchid,Heather Peach,Heather Raspberry",0,1,Black,,,,
,variation,15108891940,"Funny Halloween Shirt, Cute Cat T Shirt, Pumpkin Vneck Shirt, Kids Graphic Tees, Halloween Gifts, Cat Mom Gift, Spooky Season Sweatshirt",1,,visible,,,,,taxable,,1,100,,1,0,,,,,1,0,,,15.6,,,,,,,1510889194,,,,,,gender,"men,women","Adult Unisex Shirt / S",,1,size,"S, M, L, XL ,2XL, 3XL",Black,,1,,,,,
,variation,15108891941,"Funny Halloween Shirt, Cute Cat T Shirt, Pumpkin Vneck Shirt, Kids Graphic Tees, Halloween Gifts, Cat Mom Gift, Spooky Season Sweatshirt",1,,visible,,,,,taxable,,1,100,,1,0,,,,,1,0,,,15.6,,,,,,,1510889194,,,,,,gender,"men,women","Adult Unisex Shirt / S",,1,size,"S, M, L, XL ,2XL, 3XL",White,,1,,,,,
,variation,15108891942,"Funny Halloween Shirt, Cute Cat T Shirt, Pumpkin Vneck Shirt, Kids Graphic Tees, Halloween Gifts, Cat Mom Gift, Spooky Season Sweatshirt",1,,visible,,,,,taxable,,1,100,,1,0,,,,,1,0,,,15.6,,,,,,,1510889194,,,,,,gender,"men,women","Adult Unisex Shirt / S",,1,size,"S, M, L, XL ,2XL, 3XL",Red,,1,,,,,
,variation,15108891943,"Funny Halloween Shirt, Cute Cat T Shirt, Pumpkin Vneck Shirt, Kids Graphic Tees, Halloween Gifts, Cat Mom Gift, Spooky Season Sweatshirt",1,,visible,,,,,taxable,,1,100,,1,0,,,,,1,0,,,15.6,,,,,,,1510889194,,,,,,gender,"men,women","Adult Unisex Shirt / S",,1,size,"S, M, L, XL ,2XL, 3XL","Heather Dark Grey",,1,,,,,
,variation,15108891944,"Funny Halloween Shirt, Cute Cat T Shirt, Pumpkin Vneck Shirt, Kids Graphic Tees, Halloween Gifts, Cat Mom Gift, Spooky Season Sweatshirt",1,,visible,,,,,taxable,,1,100,,1,0,,,,,1,0,,,15.6,,,,,,,1510889194,,,,,,gender,"men,women","Adult Unisex Shirt / S",,1,size,"S, M, L, XL ,2XL, 3XL","Heather Deep Teal",,1,,,,,
,variation,15108891945,"Funny Halloween Shirt, Cute Cat T Shirt, Pumpkin Vneck Shirt, Kids Graphic Tees, Halloween Gifts, Cat Mom Gift, Spooky Season Sweatshirt",1,,visible,,,,,taxable,,1,100,,1,0,,,,,1,0,,,15.6,,,,,,,1510889194,,,,,,gender,"men,women","Adult Unisex Shirt / S",,1,size,"S, M, L, XL ,2XL, 3XL","Heather Grey",,1,,,,,
,variation,15108891946,"Funny Halloween Shirt, Cute Cat T Shirt, Pumpkin Vneck Shirt, Kids Graphic Tees, Halloween Gifts, Cat Mom Gift, Spooky Season Sweatshirt",1,,visible,,,,,taxable,,1,100,,1,0,,,,,1,0,,,15.6,,,,,,,1510889194,,,,,,gender,"men,women","Adult Unisex Shirt / S",,1,size,"S, M, L, XL ,2XL, 3XL","Heather Mauve",,1,,,,,
,variation,15108891947,"Funny Halloween Shirt, Cute Cat T Shirt, Pumpkin Vneck Shirt, Kids Graphic Tees, Halloween Gifts, Cat Mom Gift, Spooky Season Sweatshirt",1,,visible,,,,,taxable,,1,100,,1,0,,,,,1,0,,,15.6,,,,,,,1510889194,,,,,,gender,"men,women","Adult Unisex Shirt / S",,1,size,"S, M, L, XL ,2XL, 3XL","Heather Maroon",,1,,,,,
,variation,15108891948,"Funny Halloween Shirt, Cute Cat T Shirt, Pumpkin Vneck Shirt, Kids Graphic Tees, Halloween Gifts, Cat Mom Gift, Spooky Season Sweatshirt",1,,visible,,,,,taxable,,1,100,,1,0,,,,,1,0,,,15.6,,,,,,,1510889194,,,,,,gender,"men,women","Adult Unisex Shirt / S",,1,size,"S, M, L, XL ,2XL, 3XL","Heather Military Green",,1,,,,,
